Name|Address|Category|Lng|Lat
易連工業股份有限公司|高雄市岡山區本工環東路1號|金屬製品製造業|22.8126622|120.2755142
易達企業有限公司|高雄市大樹區瓦厝街6之18號|基本金屬製造業,金屬製品製造業|22.6452111|120.4178486
易達盛股份有限公司|高雄市大寮區大寮里大有三街７號|金屬製品製造業|22.5862246|120.4265958
易鐵企業股份有限公司二廠|高雄市阿蓮區復安里復安１３－１１號|金屬製品製造業|22.8475332|120.3227196
易鐵企業股份有限公司|高雄市燕巢區角宿里四林路１２１巷４９號|金屬製品製造業|22.7763796|120.3470926
昕太鐵工廠有限公司|高雄市大寮區裕民街２７號|金屬製品製造業|22.5877481|120.4353801
昕威企業有限公司|高雄市大寮區潮寮里田單四街２６號|木竹製品製造業|22.5741049|120.429483
昕展鋼鐵企業有限公司|高雄市燕巢區角宿里四林路１２１巷１８弄１４號|金屬製品製造業|22.7769694|120.3476884
昕群企業股份有限公司岡山廠|高雄市岡山區竹圍里嘉新東路一巷７號|金屬製品製造業|22.8101902|120.3109481
昕農股份有限公司|高雄市小港區港後路１６９巷２號|其他製造業|22.569435|120.33857
昕鼎企業有限公司|高雄市路竹區後鄉里順安路３５９號|金屬製品製造業|22.8351484|120.2420455
星僑企業股份有限公司仁武廠|高雄市仁武區工業二路２３號|金屬製品製造業,機械設備製造業,汽車及其零件製造業,其他運輸工具及其零件製造業|22.7000892|120.3432409
星億企業行|高雄市大寮區新厝里鳳林二路２９３之４２號|金屬製品製造業|22.5765645|120.4090676
星旺企業行|高雄市大寮區翁園路130-62號|家具製造業|22.6208743|120.4071198
星波食品工業有限公司|高雄市大樹區竹寮里竹寮路１９１號|食品製造業|22.6650968|120.4254912
星漢企業有限公司|高雄市三民區灣興里灣興街５０巷１５號|塑膠製品製造業,金屬製品製造業|22.652318|120.312369
星禾企業有限公司|高雄市岡山區本洲里本工七路２０號|金屬製品製造業|22.8085919|120.265987
春兆企業股份有限公司第二廠|高雄市鳳山區鎮北北巷２１之２０號|金屬製品製造業,機械設備製造業|22.6440873|120.3720604
春兆企業股份有限公司|高雄市鳳山區鎮北里鳳仁路１１０巷５１號|金屬製品製造業,機械設備製造業|22.6442461|120.3734077
